key,cz,en
Default,默认,Default
InsideToOutside,内向外,Inside to Outside
OutsideToInside,外向内,Outside to Inside
Weapon,武器,Weapon
Boots,靴子,Boots
Helmet,头盔,Helmet
Ring,戒指,Ring
Amulet,护身符,Amulet
Armor,盔甲,Armor
equipments,装备,Equipment
save_actor,保存人物,Save Actor
item_template,样式,Equipment Template
item_by,锻造者,Forger
item_from,锻造地,Forging Place
item_year,锻造年份,Forging Year
item_material,材质,Material
item_modifier,词缀,Modifier
INFO,信息,Information
WORLD,世界,World
ACTOR,生物,Creature
BUILDING,建筑,Building
CITY,城市,City
KINGDOM,国家,Kingdom
CULTURE,文化,Culture
CLAN,氏族,Clan
TILE,地块,Tile
OTHERS,其他,Others
DEBUG,调试,Debug
RemoveScar,去除圣痕,Remove Scar
inmny.godtools.place_saved_actor,保存人物,Save Actor
inmny.godtools.place_saved_actor description,永久保存该人物,Save the actor permanently
inmny.godtools.ui.create_sub_world,创建亚空间,Create Sub World
inmny.godtools.ui.sub_world_size,亚空间大小,Sub World Size
inmny.godtools.ui.sub_world_size_tip,滚轮调节亚空间大小,Scroll to Change Sub World Size
inmny.godtools.ui.switch_bw_list,切换黑/白名单,Switch to Black/White List
inmny.godtools.ui.filter.blacklist,黑名单,Black List
inmny.godtools.ui.filter.whitelist,白名单,White List
inmny.godtools.ui.filter.and,与,And
inmny.godtools.ui.filter.not,非,Not
inmny.godtools.ui.filter.or,或,Or
inmny.godtools.ui.filter.expand_or_retract,展开/收起,Expand/Collapse
inmny.godtools.ui.filter,过滤,Filters
inmny.godtools.ui.filter.right_click,右键去除,Right Click to Remove
inmny.godtools.ui.filter.asset,生物类型,Actor Type
inmny.godtools.ui.filter.profession,职业,Profession
inmny.godtools.ui.filter.profession.baby,小孩,Baby
inmny.godtools.ui.filter.profession.unit,市民,Unit
inmny.godtools.ui.filter.profession.warrior,士兵,Warrior
inmny.godtools.ui.filter.profession.king,国王,King
inmny.godtools.ui.filter.profession.leader,城主,Leader
inmny.godtools.ui.filter.kingdom,国家,Kingdom
inmny.godtools.ui.filter.trait,特质,Trait
inmny.godtools.ui.filter.race,种族,Race
